"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"JP1";"GNDHDR";"PINHD-1X1";"1X01";"PIN HEADER";"";"";"";"";
"R1";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"R2";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"R3";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"R4";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"R5";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"R6";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"R7";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"R8";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"R9";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"R10";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"R11";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"R12";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"R13";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"R14";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"R15";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"R16";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"R17";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"R18";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"R19";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"R20";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"R21";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"R22";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"R23";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"R24";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"R25";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"R26";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"R27";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"R28";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"R29";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"R30";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"R31";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"R32";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"R33";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"R34";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"R35";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"R36";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"R37";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
"R38";"1k";"R-EU_R0402";"R0402";"RESISTOR, European symbol";"";"";"";"";
